App Name,Score,Reviews
Shipa delivery,1.44444,9
Porter - Truck & Bike Delivery,4.8285,484
MOSSA On Demand,4.78139,645
Frayt: Anything Delivered,3.38,50
Truckr-On-demand Trucks,5,6
TITLE On Demand,2.61538,52
GOGOX - Get anything delivered,4.13636,22
On Demand Home Services,0,0
On Demand Home Services - Tech,0,0
Move It: Moving & Delivery,4.88312,154
Dubai Bus on Demand,3.42857,7
MoveQwik Pro,2.35713,14
REVIERFLITZER,5,1
Bongéni,0,0
Barrie TOD,1,1
Rx-ON-DEMAND,1,1
Edmonton On Demand Transit,4.83333,6
HaulYeah,5,1
Cookin: Homemade Food Delivery,4.93269,104
Guiltyfitness ON Demand,4.52941,17
Moovez moover,0,0
Planet Fitness Workouts,4.83927,293989
RouteLift: On-Demand Delivery,0,0
PorterBob: Helper and Driver,0,0
GO S. Placer On-Demand Transit,2.8,5
Courrier UK: Moving & Delivery,5,2
Muvr - Request movers,4.91781,73
BT On Demand,0,0
GoGo Riders,0,0
Notmuch - On Demand Services,0,0
Easymove | Moving & Delivery,0,0
Via — smarter mobility.,4.47729,13277
Lalamove - Fast & Affordable,4.6858,697
Dolly: Moving & Delivery Help,4.69203,35819
Lugg - Moving & Delivery,4.89348,37037
"GoShare: Deliver, Move, LTL",4.78857,11493
GoShare Driver: Earn Money,4.66746,7981
Yoshi - Keep Moving,4.4611,1401
